fecha_reporte;inicio;fin;parque;ag;sistema;event_class;description;duracion
2025-12-11;2025-12-11 19:01:52;2025-12-11 19:32:31;PENEC;4;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;0
2025-12-11;2025-12-11 03:03:46;2025-12-11 03:24:22;PENEC;5;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -605°;0
2025-12-11;2025-12-11 19:01:26;2025-12-11 19:22:10;PENEC;5;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;0
2025-12-11;2025-12-11 01:31:59;2025-12-11 01:55:24;PENEC;7;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -597°;0
2025-12-11;2025-12-11 18:59:39;2025-12-11 19:26:01;PENEC;7;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -827°;0
2025-12-11;2025-12-11 04:07:35;2025-12-11 04:24:16;PENEC;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;0
2025-12-11;2025-12-11 18:23:27;2025-12-11 18:40:53;PENEC;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;0
2025-12-11;2025-12-11 18:21:05;2025-12-11 18:41:13;PENEC;9;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -652°;0
2025-12-11;2025-12-11 22:53:45;2025-12-11 23:14:38;PENEC;9;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;0
2025-12-11;2025-12-11 01:23:09;2025-12-11 01:48:04;PENEC;10;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -790°;0
2025-12-11;2025-12-11 17:56:25;2025-12-11 18:15:27;PENEC;10;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;0
2025-12-11;2025-12-11 02:22:51;2025-12-11 02:44:08;PENEC;11;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;0
2025-12-11;2025-12-11 19:01:49;2025-12-11 19:24:33;PENEC;11;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -722°;0
2025-12-11;2025-12-11 14:58:25;2025-12-11 14:59:45;PECHN;2;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 474,0°;0
2025-12-11;2025-12-11 12:55:21;2025-12-11 13:04:25;PER;15;Multiplicadora;1 - Falla delactual;214 - Low oil level, 1677RPM/ 51°C;0
2025-12-11;2025-12-11 19:04:47;2025-12-11 20:45:48;PER;22;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 18:24:04;2025-12-11 19:44:25;PER;24;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 21:46:08;2025-12-11 23:18:01;PER;24;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 01:52:28;2025-12-11 01:52:38;PER;25;Generador;1 - Falla delactual;6286 - Brake test active;0
2025-12-11;2025-12-11 01:52:28;2025-12-11 01:52:38;PER;26;Generador;1 - Falla delactual;6286 - Brake test active;0
2025-12-11;2025-12-11 01:52:33;2025-12-11 01:52:43;PER;27;Generador;1 - Falla delactual;6286 - Brake test active;0
2025-12-11;2025-12-11 20:56:45;2025-12-11 22:33:31;PER;31;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 20:43:41;2025-12-11 21:45:26;PER;34;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 19:19:15;2025-12-11 21:06:22;PER;38;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;0
2025-12-11;2025-12-11 00:10:01;2025-12-11 00:28:21;PECHN;3;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -594°;0
2025-12-11;2025-12-11 00:56:58;2025-12-11 00:58:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 01:45:56;2025-12-11 01:47:24;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 04:54:03;2025-12-11 04:55:20;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 05:34:30;2025-12-11 05:35:37;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 06:44:43;2025-12-11 06:46:00;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 07:27:40;2025-12-11 07:28:54;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 08:02:31;2025-12-11 08:03:53;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 09:19:24;2025-12-11 09:20:39;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 10:28:44;2025-12-11 10:30:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 11:16:58;2025-12-11 11:18:32;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;0
2025-12-11;2025-12-11 00:13:03;2025-12-11 00:35:56;PECHN;4;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -576°;0
