inicio;fin;parque;ag;sistema;event_class;description;duracion;factor_de_parada
2025-12-11 13:44:03;2025-12-11 13:45:20;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:17;FPF
2025-12-11 14:01:26;2025-12-11 15:16:46;PEM;14;Sistema de Seguridad;1 - Falla delactual;3805 - HubSafetySystem DC Supply Err,;01:15:20;FPF
2025-12-11 14:04:26;2025-12-11 14:05:32;PEM;7;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 472,0°;00:01:06;FPF
2025-12-11 14:24:05;2025-12-11 14:25:15;PEM;31;Yaw;1 - Falla delactual;356 - Extreme yawerror 96,0m/s 481,0°;00:01:10;FPF
2025-12-11 14:28:22;2025-12-11 14:49:17;PER;52;Yaw;1 - Falla delactual;3296 - Yaw To Nacelle Position Reset;00:20:55;FPF
2025-12-11 14:30:45;2025-12-11 14:31:55;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:10;FPF
2025-12-11 14:58:25;2025-12-11 14:59:45;PECHN;2;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 474,0°;00:01:20;FPF
2025-12-11 15:09:11;2025-12-11 17:25:14;PET;4;;1 - Falla delactual;General yaw problem;02:16:03;FPF
2025-12-11 15:12:00;2025-12-11 15:13:23;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:23;FPF
2025-12-11 15:29:53;2025-12-11 15:31:14;PEM;49;Yaw;1 - Falla delactual;356 - Extreme yawerror 139,0m/s 438,0°;00:01:21;FPF
2025-12-11 16:07:04;2025-12-11 16:08:40;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:36;FPF
2025-12-11 16:52:17;2025-12-11 16:53:40;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:23;FPF
2025-12-11 17:00:34;2025-12-11 17:01:54;PEM;39;Yaw;1 - Falla delactual;356 - Extreme yawerror 155,0m/s 432,0°;00:01:20;FPF
2025-12-11 17:34:22;2025-12-11 17:35:19;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:00:57;FPF
2025-12-11 17:56:25;2025-12-11 18:15:27;PENEC;10;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:19:02;FPF
2025-12-11 18:21:05;2025-12-11 18:41:13;PENEC;9;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -652°;00:20:08;FPF
2025-12-11 18:23:27;2025-12-11 18:40:53;PENEC;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:17:26;FPF
2025-12-11 18:24:04;2025-12-11 19:44:25;PER;24;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:20:21;FPF
2025-12-11 18:30:25;2025-12-11 18:31:30;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:05;FPF
2025-12-11 18:47:45;2025-12-11 18:50:21;PER;55;Sistema de Control;1 - Falla delactual;693 - SignalError-PAUSE 1830, 1;00:02:36;FPF
2025-12-11 18:59:39;2025-12-11 19:26:01;PENEC;7;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -827°;00:26:22;FPF
2025-12-11 18:59:40;2025-12-11 19:31:46;PENEC;1;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -990°;00:32:06;FPF
2025-12-11 19:01:26;2025-12-11 19:22:10;PENEC;5;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;00:20:44;FPF
2025-12-11 19:01:42;2025-12-11 19:31:41;PENEC;2;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;00:29:59;FPF
2025-12-11 19:01:49;2025-12-11 19:24:33;PENEC;11;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -722°;00:22:44;FPF
2025-12-11 19:01:52;2025-12-11 19:32:31;PENEC;4;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;00:30:39;FPF
2025-12-11 19:02:02;2025-12-11 19:30:40;PENEC;3;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;00:28:38;FPF
2025-12-11 19:04:47;2025-12-11 20:45:48;PER;22;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:41:01;FPF
2025-12-11 19:19:15;2025-12-11 21:06:22;PER;38;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:47:07;FPF
2025-12-11 19:21:03;2025-12-11 19:22:14;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:11;FPF
2025-12-11 19:58:09;2025-12-11 19:59:25;PEM;2;Yaw;1 - Falla delactual;356 - Extreme yawerror 85,0m/s 578,0°;00:01:16;FPF
2025-12-11 19:58:29;2025-12-11 20:03:06;PEM;53;Yaw;1 - Falla delactual;356 - Extreme yawerror 83,0m/s 585,0°;00:04:37;FPF
2025-12-11 20:00:35;2025-12-11 20:01:35;PEM;52;Yaw;1 - Falla delactual;356 - Extreme yawerror 83,0m/s 590,0°;00:01:00;FPF
2025-12-11 20:03:17;2025-12-11 20:04:37;PEM;4;Yaw;1 - Falla delactual;356 - Extreme yawerror 92,0m/s 516,0°;00:01:20;FPF
2025-12-11 20:43:41;2025-12-11 21:45:26;PER;34;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:01:45;FPF
2025-12-11 20:56:45;2025-12-11 22:33:31;PER;31;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:36:46;FPF
2025-12-11 20:57:21;2025-12-11 20:58:21;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:00;FPF
2025-12-11 21:46:08;2025-12-11 23:18:01;PER;24;Generador;1 - Falla delactual;151 - High temp, Gen bearing 1: 95°C;01:31:53;FPF
2025-12-11 21:50:55;2025-12-11 21:52:01;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:06;FPF
2025-12-11 21:59:18;2025-12-11 22:25:05;PECHN;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -698°;00:25:47;FPF
2025-12-11 22:49:46;2025-12-11 22:50:57;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:11;FPF
2025-12-11 22:53:45;2025-12-11 23:14:38;PENEC;9;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:20:53;FPF
2025-12-11 23:47:12;2025-12-11 23:48:29;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:17;FPF
